,Neighborhood,Census.Tract,Homeowner.age.building.years,Pb.ppm,Pred.µg.dL.,P.PbB.3.5,P.PbB.5,P.PbB.6,P.PbB.10,Age.25m.years,Community.Area
1463,,690400,NA,266.5,2.96,36.063,13.229,6.635,0.479,NA,GREATER GRAND CROSSING
1464,,690400,NA,219,2.63,27.23,8.617,3.983,0.226,NA,GREATER GRAND CROSSING
1465,,690500,NA,975,7.32,94.184,79.147,66.408,25.359,NA,GREATER GRAND CROSSING
1466,,691000,NA,771,6.15,88.513,67.08,52.162,15.089,NA,GREATER GRAND CROSSING
1467,,691300,NA,1291.5,9.01,97.793,89.506,80.675,41.26,NA,GREATER GRAND CROSSING
1468,,440300,NA,540,4.75,74.222,45.673,30.974,5.666,NA,CHATHAM
1469,,440201,NA,302,3.2,42.462,17.132,9.063,0.768,NA,CHATHAM
1470,,440300,NA,467.5,4.29,66.761,37.238,23.778,3.591,NA,CHATHAM
1471,,440600,NA,372,3.67,53.986,25.501,14.762,1.644,63,CHATHAM
1472,,440900,NA,242.5,2.8,31.615,10.797,5.205,0.334,NA,CHATHAM
1473,,440900,NA,199,2.49,23.532,6.94,3.087,0.156,93,CHATHAM
1474,,440800,NA,1054,7.76,95.48,82.494,70.763,29.446,NA,CHATHAM
1475,,440102,NA,170,2.29,18.34,4.832,2.022,0.086,NA,CHATHAM
1476,,440102,NA,438,4.1,63.189,33.65,20.899,2.893,NA,CHATHAM
1477,,691500,NA,146.5,2.12,14.392,3.425,1.356,0.049,115,GREATER GRAND CROSSING
1478,,691500,NA,422,4,61.112,31.681,19.365,2.55,NA,GREATER GRAND CROSSING
1479,,841800,NA,290,3.12,40.331,15.777,8.203,0.66,10,GREATER GRAND CROSSING
1480,,691500,NA,696.5,5.71,85.134,61.153,45.835,11.674,NA,GREATER GRAND CROSSING
1481,,691500,NA,584.5,5.03,77.967,50.487,35.357,7.179,NA,GREATER GRAND CROSSING
1482,,834300,NA,151.5,2.16,15.207,3.701,1.484,0.055,91,AVALON PARK
1483,,834300,NA,358.5,3.58,51.898,23.845,13.584,1.441,62,AVALON PARK
1484,,470100,NA,171,2.3,18.514,4.898,2.054,0.088,61,BURNSIDE
1485,,470100,NA,150.5,2.15,15.042,3.645,1.458,0.054,NA,BURNSIDE
1486,,480300,NA,227.5,2.69,28.815,9.381,4.404,0.262,NA,CALUMET HEIGHTS
1487,,480200,NA,229,2.7,29.095,9.518,4.481,0.268,NA,CALUMET HEIGHTS
1488,,834300,NA,267,2.96,36.155,13.281,6.666,0.483,NA,AVALON PARK
1489,,834300,NA,136,2.05,12.734,2.885,1.113,0.037,60,AVALON PARK
1490,,834300,NA,324.5,3.35,46.346,19.749,10.776,1.003,68,AVALON PARK
1491,,450300,NA,268,2.97,36.339,13.387,6.73,0.49,47,AVALON PARK
1492,,450300,NA,241,2.78,31.335,10.652,5.122,0.326,92,AVALON PARK
1493,,480100,NA,284,3.08,39.253,15.113,7.787,0.61,NA,CALUMET HEIGHTS
1494,,480400,NA,318,3.31,45.239,18.984,10.268,0.93,NA,CALUMET HEIGHTS
1495,,480400,NA,135,2.04,12.58,2.837,1.092,0.036,55,CALUMET HEIGHTS
1496,,480400,NA,599.5,5.12,79.103,52.038,36.813,7.727,62,CALUMET HEIGHTS
1497,,480100,NA,313.5,3.28,44.466,18.458,9.923,0.883,NA,CALUMET HEIGHTS
1498,,480500,NA,205,2.54,24.635,7.424,3.342,0.175,NA,CALUMET HEIGHTS
1499,,480500,NA,1173.5,8.4,96.872,86.509,76.288,35.522,NA,CALUMET HEIGHTS
1500,,480500,NA,402,3.87,58.378,29.209,17.484,2.158,NA,CALUMET HEIGHTS
1501,,461000,NA,119,1.93,10.22,2.128,0.785,0.023,NA,SOUTH CHICAGO
1502,,833900,NA,1077.5,7.88,95.801,83.376,71.945,30.655,NA,SOUTH CHICAGO
1503,,460800,NA,668.5,5.54,83.606,58.687,43.313,10.469,99,SOUTH CHICAGO
1504,,460800,NA,644.5,5.4,82.165,56.466,41.095,9.477,120,SOUTH CHICAGO
