,Neighborhood,Census.Tract,Homeowner.age.building.years,Pb.ppm,Pred.µg.dL.,P.PbB.3.5,P.PbB.5,P.PbB.6,P.PbB.10,Age.25m.years,Community.Area
1693,,530503,NA,405,3.89,58.798,29.58,17.763,2.215,NA,WEST PULLMAN
1694,,530600,NA,65,1.54,3.998,0.604,0.188,0.003,NA,WEST PULLMAN
1695,,530502,NA,157,2.2,16.119,4.019,1.633,0.063,74,WEST PULLMAN
1696,,530503,NA,307,3.23,43.338,17.705,9.433,0.817,NA,WEST PULLMAN
1697,,530400,NA,285,3.09,39.433,15.223,7.856,0.618,67,WEST PULLMAN
1698,,821401,NA,93.5,1.74,6.916,1.252,0.428,0.01,19,NA
1699,,530400,NA,208,2.56,25.189,7.673,3.474,0.185,108,WEST PULLMAN
1700,,530400,NA,73.5,1.6,4.778,0.764,0.245,0.005,NA,WEST PULLMAN
1701,,530400,NA,265,2.95,35.787,13.071,6.54,0.469,NA,WEST PULLMAN
1702,,530501,NA,357,3.57,51.662,23.662,13.455,1.419,NA,WEST PULLMAN
1703,,530501,NA,421.5,3.99,61.046,31.62,19.317,2.54,95,WEST PULLMAN
1704,,530600,NA,287.5,3.1,39.883,15.499,8.028,0.639,69,WEST PULLMAN
1705,,530100,NA,440.5,4.12,63.504,33.957,21.14,2.949,130,WEST PULLMAN
1706,,530200,NA,230.5,2.71,29.375,9.657,4.559,0.275,116,WEST PULLMAN
1707,,530200,NA,275.5,3.02,37.711,14.187,7.216,0.544,92,WEST PULLMAN
1708,,530300,NA,154.5,2.18,15.702,3.873,1.564,0.06,NA,WEST PULLMAN
1709,,750600,NA,140,2.08,13.357,3.084,1.202,0.041,65,MORGAN PARK
1710,,840200,NA,478,4.36,67.955,38.498,24.814,3.86,10,BRIDGEPORT
1711,,600900,NA,63.5,1.53,3.869,0.579,0.179,0.003,24,BRIDGEPORT
1712,,600900,NA,245.5,2.82,32.174,11.091,5.374,0.35,NA,BRIDGEPORT
1713,,839800,NA,549,4.81,75.027,46.671,31.866,5.958,130,BRIDGEPORT
1714,,840000,NA,687,5.66,84.633,60.331,44.987,11.26,128,BRIDGEPORT
1715,,340500,NA,414.5,3.95,60.105,30.755,18.654,2.399,130,ARMOUR SQUARE
1716,,340500,NA,267.5,2.97,36.247,13.334,6.698,0.486,NA,ARMOUR SQUARE
1717,,841100,NA,186,2.4,21.171,5.946,2.575,0.121,46,ARMOUR SQUARE
1718,,841100,NA,176,2.33,19.39,5.235,2.219,0.098,NA,ARMOUR SQUARE
1719,,841100,NA,248,2.83,32.639,11.337,5.517,0.364,12,ARMOUR SQUARE
1720,,330200,NA,56,1.47,3.259,0.462,0.139,0.002,NA,NEAR SOUTH SIDE
1721,,330101,NA,194.5,2.46,22.71,6.587,2.903,0.143,4,NEAR SOUTH SIDE
1722,,330103,NA,72,1.59,4.634,0.734,0.234,0.005,NA,NEAR SOUTH SIDE
1723,,841000,NA,53.5,1.45,3.07,0.428,0.127,0.002,NA,NEAR SOUTH SIDE
1724,,839900,NA,483,4.39,68.51,39.094,25.309,3.992,NA,BRIDGEPORT
1725,,839900,NA,808,6.37,89.877,69.696,55.083,16.876,46,BRIDGEPORT
1726,,839900,NA,165.5,2.26,17.562,4.541,1.881,0.077,126,BRIDGEPORT
1727,,837400,NA,94,1.75,6.975,1.266,0.434,0.01,NA,EAST GARFIELD PARK
1728,,837000,NA,164.5,2.25,17.39,4.478,1.851,0.076,NA,EAST GARFIELD PARK
1729,,271300,NA,53.5,1.45,3.07,0.428,0.127,0.002,NA,EAST GARFIELD PARK
1730,,271400,NA,322,3.34,45.922,19.454,10.58,0.974,44,EAST GARFIELD PARK
1731,,261000,NA,400.5,3.86,58.167,29.023,17.345,2.131,110,WEST GARFIELD PARK
1732,,260700,NA,793,6.28,89.346,68.661,53.917,16.145,NA,WEST GARFIELD PARK
1733,,271400,NA,167.5,2.27,17.906,4.669,1.943,0.081,NA,EAST GARFIELD PARK
1734,,837300,NA,77.5,1.63,5.171,0.849,0.276,0.006,NA,EAST GARFIELD PARK
1735,,837400,NA,93,1.74,6.858,1.237,0.423,0.01,NA,EAST GARFIELD PARK
1736,,837400,NA,94.5,1.75,7.034,1.28,0.44,0.01,NA,EAST GARFIELD PARK
1737,,271800,NA,191,2.44,22.074,6.319,2.765,0.134,NA,EAST GARFIELD PARK
1738,,837300,NA,168,2.28,17.993,4.701,1.958,0.082,120,EAST GARFIELD PARK
1739,,271500,NA,93,1.74,6.858,1.237,0.423,0.01,NA,EAST GARFIELD PARK
1740,,270500,NA,364,3.62,52.757,24.519,14.06,1.521,93,EAST GARFIELD PARK
1741,,261000,NA,584.5,5.03,77.967,50.487,35.357,7.179,103,WEST GARFIELD PARK
1742,,261000,NA,239,2.77,30.962,10.459,5.012,0.316,NA,WEST GARFIELD PARK
1743,,843000,NA,431,4.06,62.292,32.79,20.225,2.74,NA,NORTH LAWNDALE
1744,,843000,NA,389,3.78,56.518,27.6,16.288,1.925,NA,NORTH LAWNDALE
1745,,843000,NA,384,3.75,55.785,26.982,15.835,1.839,10,NORTH LAWNDALE
1746,,837300,NA,226.5,2.68,28.628,9.289,4.353,0.257,NA,EAST GARFIELD PARK
1747,,271800,NA,558.5,4.87,75.85,47.712,32.805,6.274,120,EAST GARFIELD PARK
1748,,843300,NA,138,2.06,13.044,2.984,1.157,0.039,NA,NORTH LAWNDALE
1749,,282700,NA,74.5,1.61,4.874,0.785,0.252,0.005,123,NEAR WEST SIDE
1750,,292500,NA,600,5.12,79.14,52.09,36.862,7.746,110,NORTH LAWNDALE
